"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"cod_bloco_predio";"bloco_predio";"cod_ambiente_fisico";"ambiente_fisico";"tipo_ambiente";"funcao_origem";"funcao_utilizacao";"ambiente_fisico_descricao";"ambiente_fisico_area_m2"
15;CRE - São Sebastião;566;ESCOLA CLASSE VILA DO BOA;pública;506;A;200.453;Sala 06;ADAPTADO;SALA DE LEITURA;SALA DE PROFESSORES;;42
15;CRE - São Sebastião;566;ESCOLA CLASSE VILA DO BOA;pública;506;A;200.454;Sala 15;ADM/SERVIÇOS;SALA DE PROFESSORES;DIREÇÃO;;18
15;CRE - São Sebastião;566;ESCOLA CLASSE VILA DO BOA;pública;506;A;200.455;Sala 12;ADM/SERVIÇOS;DEPÓSITO;SALA DE APOIO;;7
15;CRE - São Sebastião;594;CENTRO DE EDUCAÇÃO INFANTIL 01 DE SÃO SEBASTIÃO;pública;1.558;C;200.456;Sala 01;ADAPTADO;SALA DE PROFESSORES;BRINQUEDOTECA;;"38;5"
15;CRE - São Sebastião;667;CENTRO DE EDUCAÇÃO INFANTIL 03 DE SÃO SEBASTIÃO;pública;1.136;B;200.458;sala 10;PRÓPRIO;BANHEIRO;BANHEIRO;;"9;7"
15;CRE - São Sebastião;594;CENTRO DE EDUCAÇÃO INFANTIL 01 DE SÃO SEBASTIÃO;pública;1.961;D;200.459;Sala 04;ADM/SERVIÇOS;DEPÓSITO;VIDEOTECA;;18
15;CRE - São Sebastião;596;ESCOLA CLASSE AGUILHADA;pública;532;A;200.460;"09";ADAPTADO;SALA DE PROFESSORES;SALA DE LEITURA;;"21;5"
8;CRE - Núcleo Bandeirante;190;Escola Classe 01 da Candangolândia;pública;174;A;200.461;Sala 02;DESVIADO;SALA DE AULA;LABORATÓRIO DE INFORMÁTICA;;48
15;CRE - São Sebastião;596;ESCOLA CLASSE AGUILHADA;pública;532;A;200.462;Sala 06;ADM/SERVIÇOS;SECRETARIA;SALA DE PROFESSORES;;"21;5"
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.463;Sala 02;ADM/SERVIÇOS;DESPENSA;DEPÓSITO;;15
15;CRE - São Sebastião;665;ESCOLA CLASSE DOM BOSCO;pública;1.608;C;200.464;Sala 01;ADM/SERVIÇOS;SECRETARIA;DIREÇÃO;"a sala 1 do bloco c e utilizada como: secretaria;direção;atendimento de psicologa; sala de apoio pedagógico";"41;73"
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;1.538;C;200.465;Sala 09;ADM/SERVIÇOS;SALA DE ORIENTAÇÃO EDUCACIONAL;SALA DE ORIENTAÇÃO EDUCACIONAL;;12
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.466;Sala 10;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"47;5"
15;CRE - São Sebastião;580;ESCOLA CLASSE 104 DE SÃO SEBASTIÃO;pública;1.952;D;200.467;Sala 02;ADM/SERVIÇOS;DESPENSA;DEPÓSITO;;"23;4"
15;CRE - São Sebastião;580;ESCOLA CLASSE 104 DE SÃO SEBASTIÃO;pública;1.548;C;200.468;Sala 03;ADM/SERVIÇOS;SALA DE APOIO;DIREÇÃO;;"13;3"
15;CRE - São Sebastião;612;ESCOLA CLASSE 303 DE SÃO SEBASTIÃO;pública;1.971;D;200.469;Sala 23;ADM/SERVIÇOS;DEPÓSITO;SALA DE RECURSOS;;11
15;CRE - São Sebastião;612;ESCOLA CLASSE 303 DE SÃO SEBASTIÃO;pública;1.569;C;200.470;Sala 06;ADM/SERVIÇOS;SALA DE ORIENTAÇÃO EDUCACIONAL;ENSINO ESPECIAL;;"14;82"
15;CRE - São Sebastião;612;ESCOLA CLASSE 303 DE SÃO SEBASTIÃO;pública;1.569;C;200.471;Sala 05;ADM/SERVIÇOS;COORDENAÇÃO;SALA DE MÚLTIPLAS FUNÇÕES;;"22;52"
15;CRE - São Sebastião;612;ESCOLA CLASSE 303 DE SÃO SEBASTIÃO;pública;1.569;C;200.472;Sala 02;ADM/SERVIÇOS;SALA DE APOIO;COORDENAÇÃO;;"10;95"
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.473;Sala 04;ADM/SERVIÇOS;SALA DE RECURSOS;SALA DE RECURSOS;;"25;5"
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.474;Sala 05;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;90
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.475;Sala 12;ADM/SERVIÇOS;SALA DE SERVIDORES;SALA DE SERVIDORES;;10
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.476;Sala 11;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"47;5"
15;CRE - São Sebastião;596;ESCOLA CLASSE AGUILHADA;pública;532;A;200.477;Sala 09;ADM/SERVIÇOS;SALA DE PROFESSORES;SALA DE LEITURA;;"21;5"
15;CRE - São Sebastião;567;CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO;pública;507;A;200.478;Sala 01;ADM/SERVIÇOS;COZINHA;COZINHA;;35
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.479;T 05;ADM/SERVIÇOS;VESTIÁRIO;VESTIÁRIO;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.480;T 06;ADM/SERVIÇOS;SECRETARIA;SECRETARIA;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.481;T 19;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"7;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.482;S 01;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.483;S 25;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"10;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.484;S 29;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"46;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.485;S 30;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"46;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.486;S 31;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"46;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.487;S 32;PRÓPRIO;SALA DE AULA;SALA DE AULA;EC 01 RF;"46;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.488;S 33;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"10;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.489;T 04;ADM/SERVIÇOS;SALA DE EDUCAÇÃO FÍSICA;SALA DE EDUCAÇÃO FÍSICA;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.490;S 15;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"10;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.491;S 34;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"46;8"
4;CRE - Ceilândia;630;ESCOLA CLASSE 65 DE CEILÂNDIA;pública;2.577;H;200.492;Sala 06;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"41;7"
15;CRE - São Sebastião;594;CENTRO DE EDUCAÇÃO INFANTIL 01 DE SÃO SEBASTIÃO;pública;2.257;E;200.493;Sala 04;ADM/SERVIÇOS;SALA DE SERVIDORES;SALA DE RECURSOS;;18
15;CRE - São Sebastião;573;CAIC UNESCO;pública;1.065;B;200.494;Sala 26;ADM/SERVIÇOS;DIAGNÓSTICO;SALA DE RECURSOS;;"21;07"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.495;T 20;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"7;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.496;T 14;ADM/SERVIÇOS;ENFERMARIA;DEPÓSITO;;"5;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.497;S 10;ADM/SERVIÇOS;DIREÇÃO;DIREÇÃO;EC 01 RF;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.498;T 46;ADM/SERVIÇOS;VESTIÁRIO;VESTIÁRIO;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.499;T 10;ADM/SERVIÇOS;RECEPÇÃO;RECEPÇÃO;;"5;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.500;T 03;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;"5;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.501;T 02;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;"10;4"
8;CRE - Núcleo Bandeirante;441;Centro de Educação Infantil do Núcleo Bandeirante;pública;1.884;D;200.502;Sala 13;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"3;3"
8;CRE - Núcleo Bandeirante;441;Centro de Educação Infantil do Núcleo Bandeirante;pública;1.884;D;200.503;Sala 12;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;"4;3"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.504;S 19;ADM/SERVIÇOS;SALA DE PROFESSORES;COORDENAÇÃO;;"46;8"
16;CRE - Recanto das Emas;847;Escola Classe 203 do Recanto das Emas;pública;2.816;A;200.505;SALA 12;PRÓPRIO;SALA DE AULA;SALA DE AULA;;42
