"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"cod_bloco_predio";"bloco_predio";"cod_ambiente_fisico";"ambiente_fisico";"tipo_ambiente";"funcao_origem";"funcao_utilizacao";"ambiente_fisico_descricao";"ambiente_fisico_area_m2"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.178;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;325;Centro Educacional 04 de Taguatinga;pública;1.813;D;87.068;"20";PRÓPRIO;SALA DE AULA;SALA DE AULA;Cadastrado conforme informado pela U.E.;48
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.179;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.180;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.181;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.182;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;325;Centro Educacional 04 de Taguatinga;pública;1.813;D;87.069;"21";PRÓPRIO;SALA DE AULA;SALA DE AULA;Cadastrado conforme informado pela UE.;48
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.183;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;25;Centro de Ensino Fundamental 07 de Ceilândia;pública;2.454;G;87.104;MOVIMENTAÇÃO;PRÓPRIO;SALA DE AULA;SALA DE AULA;MOVIMENTAÇÃO;49
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.184;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;87;CENTRO EDUCACIONAL VÁRZEAS;pública;79;A;87.107;Sala 06;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"33;9"
7;CRE - Guará;392;JARDIM DE INFÂNCIA LÚCIO COSTA;pública;358;A;87.113;Sala 04;PRÓPRIO;SALA DE AULA;SALA DE AULA;Concluída construção da sala em Março/2016.;23
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.185;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;242;ESCOLA CLASSE 08 DO CRUZEIRO;pública;225;A;87.115;"1A";PRÓPRIO;SALA DE AULA;SALA DE AULA;;50
8;CRE - Núcleo Bandeirante;189;Escola Classe 01 do Riacho Fundo II;pública;1.752;D;87.075;D 21;ADAPTADO;SALA DE AULA;SALA DE AULA;Sala provisória Ajustes I-Educar;55
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.001;A;87.086;"01";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
7;CRE - Guará;392;JARDIM DE INFÂNCIA LÚCIO COSTA;pública;358;A;87.114;Sala 05;PRÓPRIO;SALA DE AULA;SALA DE AULA;Concluída construção da sala em Março/2016.;23
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.186;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.187;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
8;CRE - Núcleo Bandeirante;189;Escola Classe 01 do Riacho Fundo II;pública;1.752;D;87.076;D 22;ADAPTADO;SALA DE AULA;SALA DE AULA;Sala Provisória Ajustes I-educar;55
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.001;A;87.087;"02";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.001;A;87.088;"03";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.001;A;87.089;"04";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.001;A;87.090;"05";PRÓPRIO;SALA DE AULA;SALA DE AULA;;"25;5"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.188;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.189;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.190;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.191;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.192;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.193;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.194;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.195;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.001;A;87.091;"06";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"25;5"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.196;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.197;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.198;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.199;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.200;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.201;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.202;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.203;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.204;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.205;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.206;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.207;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.208;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.209;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.210;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.211;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.212;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.213;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.214;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.037;B;87.092;"01";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.215;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.216;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.217;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.218;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.219;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.220;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.221;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.037;B;87.093;"02";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.046;"1";87.183;"1 A";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.222;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.223;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.224;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.225;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.226;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.227;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.037;B;87.094;"03";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.046;"1";87.184;"1 B";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.047;"2";87.187;"2 A";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
16;CRE - Recanto das Emas;870;CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA PINHEIRINHO ROXO;pública;3.042;A;87.212;"09";PRÓPRIO;SALA DE AULA;SALA DE AULA;;40
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.228;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.229;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.037;B;87.095;"04";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.046;"1";87.185;"1 C";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.037;B;87.096;"05";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"25;5"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.230;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.231;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.232;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.233;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.234;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.235;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.236;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.237;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.238;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.239;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.240;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.241;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.242;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
5;CRE - Gama;491;ESCOLA CLASSE PONTE ALTA DE CIMA;pública;446;A;200.621;Sala 01;PRÓPRIO;SALA DE AULA;SALA DE AULA;;30
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.037;B;87.097;"06";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"25;5"
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.046;"1";87.186;"1 D";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.038;C;87.098;"01";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.047;"2";87.188;"2 B";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.038;C;87.099;"02";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.038;C;87.100;"03";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.047;"2";87.189;"2 C";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.074;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.075;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.076;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.038;C;87.101;"04";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"37;4"
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.077;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.078;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.079;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.080;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.081;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.082;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.083;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.084;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.085;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.086;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.087;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.088;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.038;C;87.102;"05";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"25;5"
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.089;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.090;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.091;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.092;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.093;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.094;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.095;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.096;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.097;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.098;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.099;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;640;CENTRO EDUCACIONAL 01 DA ESTRUTURAL;pública;560;A;45.100;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
7;CRE - Guará;868;Centro de Ensino Fundamental 03 da Estrutural;pública;3.038;C;87.103;"06";PRÓPRIO;SALA DE AULA;SALA DE AULA;Prédio alugado.;"25;5"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.134;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.135;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.136;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.137;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.138;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
