code;name;total_rooms;used_rooms;amount_employees;technical_or_high_school
53009320;EC 01 DA CANDANGOLANDIA;19;14;63;false
53009339;EC 02 DA CANDANGOLANDIA;11;11;48;false
53009347;CEF TAMANDUA;9;8;45;false
53009355;CEF 106 DO RECANTO DAS EMAS;20;20;100;false
53013816;ESC BANDEIRANTES;0;0;0;false
53013310;ESC TECNICA BRASILIENSE DE PROTESE DENTARIA;4;4;14;false
53013336;CEE 01 DE SANTA MARIA;27;27;129;false
53009975;CASA DO PEQUENO POLEGAR;7;7;38;false
53009983;CED DELTA;21;16;44;false
53010019;CED 619 DE SAMAMBAIA;22;22;120;false
53010027;CEF 504 DE SAMAMBAIA;15;15;67;false
53010060;EC 512 DE SAMAMBAIA;13;13;79;false
53010078;JOAO E MARIA - ESC DE EDUC INTEGRAL;7;7;22;false
53010086;C INTEG OFICINA DO SABER;7;7;16;false
53010124;ESC ALENCAR;18;12;20;false
53010159;COL NOVOS CAMINHOS;6;5;8;false
53010221;SEMPRE MAT E PRE-ESC;6;6;11;false
53010264;CE LOGOS;31;28;59;false
53010361;COL ALUB - SEDE I;23;23;58;false
53010370;COL SECULO XXI;13;13;33;false
53010426;CE ISAAC NEWTON;50;50;63;false
53007433;ESC ASA DELTA;0;0;0;false
53015398;IFB - CAMPUS TAGUATINGA CENTRO;0;0;0;false
53068017;EC 02 DE VICENTE PIRES;14;14;70;false
53068025;EC 09 DE BRAZLANDIA;20;20;86;false
53068033;CEI 04 DE SOBRADINHO;4;4;25;false
53068041;EC 17 DE SOBRADINHO;16;14;77;false
53068050;EC 16 DE SOBRADINHO;16;16;68;false
53068068;CED DONA AMERICA GUIMARAES;24;24;141;false
53068076;EC 02 DO ARAPOANGA;24;24;100;false
53068084;EC 15 DE PLANALTINA;18;18;71;false
53068092;CED 01 DO RIACHO FUNDO II;15;15;106;false
53068106;CEF 02 DO RIACHO FUNDO II;17;17;69;false
53068114;CEF 27 DE CEILANDIA;24;24;69;false
