code;name;total_rooms;used_rooms;amount_employees
53013310;ESC TECNICA BRASILIENSE DE PROTESE DENTARIA;4.0;4.0;14.0
53013336;CEE 01 DE SANTA MARIA;27.0;27.0;129.0
53009975;CASA DO PEQUENO POLEGAR;7.0;7.0;38.0
53009983;CED DELTA;21.0;16.0;44.0
53010019;CED 619 DE SAMAMBAIA;22.0;22.0;120.0
53010027;CEF 504 DE SAMAMBAIA;15.0;15.0;67.0
53010060;EC 512 DE SAMAMBAIA;13.0;13.0;79.0
53010078;JOAO E MARIA - ESC DE EDUC INTEGRAL;7.0;7.0;22.0
53010086;C INTEG OFICINA DO SABER;7.0;7.0;16.0
53010124;ESC ALENCAR;18.0;12.0;20.0
53010159;COL NOVOS CAMINHOS;6.0;5.0;8.0
53010221;SEMPRE MAT E PRE-ESC;6.0;6.0;11.0
53010264;CE LOGOS;31.0;28.0;59.0
53010361;COL ALUB - SEDE I;23.0;23.0;58.0
53010370;COL SECULO XXI;13.0;13.0;33.0
53010426;CE ISAAC NEWTON;50.0;50.0;63.0
53007433;ESC ASA DELTA;0.0;0.0;0.0
53015398;IFB - CAMPUS TAGUATINGA CENTRO;0.0;0.0;0.0
53068017;EC 02 DE VICENTE PIRES;14.0;14.0;70.0
53068025;EC 09 DE BRAZLANDIA;20.0;20.0;86.0
53068033;CEI 04 DE SOBRADINHO;4.0;4.0;25.0
53068041;EC 17 DE SOBRADINHO;16.0;14.0;77.0
53068050;EC 16 DE SOBRADINHO;16.0;16.0;68.0
53068068;CED DONA AMERICA GUIMARAES;24.0;24.0;141.0
53068076;EC 02 DO ARAPOANGA;24.0;24.0;100.0
53068084;EC 15 DE PLANALTINA;18.0;18.0;71.0
53068092;CED 01 DO RIACHO FUNDO II;15.0;15.0;106.0
53068106;CEF 02 DO RIACHO FUNDO II;17.0;17.0;69.0
53068114;CEF 27 DE CEILANDIA;24.0;24.0;69.0
53068122;CEF 28 DE CEILANDIA;25.0;25.0;91.0
